iter	Passed	Remaining
0	137	137612
1	140	70136
2	143	47699
3	148	37005
4	151	30139
5	155	25694
6	157	22335
7	163	20267
8	166	18309
9	169	16805
10	172	15505
11	178	14659
12	182	13828
13	188	13274
14	193	12701
15	199	12248
16	203	11742
17	207	11308
18	212	10968
19	215	10561
20	218	10182
21	220	9818
22	227	9683
23	230	9389
24	233	9115
25	236	8851
26	242	8724
27	245	8511
28	248	8314
29	251	8124
30	257	8050
31	261	7906
32	264	7752
33	267	7611
34	275	7586
35	279	7482
36	282	7340
37	287	7268
38	290	7169
39	294	7061
40	297	6966
41	300	6857
42	309	6880
43	312	6781
44	315	6686
45	320	6644
46	323	6564
47	326	6480
48	329	6390
49	335	6370
50	339	6319
51	343	6254
52	345	6179
53	350	6142
54	354	6084
55	357	6027
56	362	5996
57	368	5978
58	371	5927
59	374	5860
60	376	5798
61	380	5761
62	385	5728
63	388	5677
64	390	5621
65	393	5574
66	401	5592
67	404	5543
68	407	5498
69	410	5449
70	417	5468
71	421	5431
72	424	5386
73	427	5344
74	432	5335
75	435	5294
76	437	5250
77	440	5205
78	442	5160
79	447	5145
80	449	5105
81	452	5067
82	455	5028
83	459	5006
84	464	4997
85	466	4962
86	469	4925
87	472	4893
88	477	4885
89	480	4855
90	482	4822
91	485	4789
92	487	4755
93	493	4752
94	496	4730
95	499	4699
96	502	4674
97	506	4661
98	511	4657
99	515	4641
100	522	4652
101	529	4659
102	533	4649
103	539	4646
104	546	4659
105	551	4652
106	557	4650
107	562	4648
108	566	4630
109	573	4641
110	579	4643
111	583	4628
112	590	4631
113	594	4620
114	599	4611
115	606	4619
116	611	4612
117	614	4590
118	618	4575
119	622	4563
120	625	4547
121	629	4529
122	632	4508
123	637	4504
124	641	4490
125	644	4472
126	648	4455
127	652	4446
128	657	4438
129	660	4423
130	664	4406
131	669	4399
132	672	4385
133	675	4368
134	679	4351
135	682	4335
136	686	4321
137	691	4317
138	697	4319
139	706	4338
140	709	4323
141	713	4309
142	718	4304
143	721	4288
144	725	4275
145	728	4259
146	732	4248
147	735	4232
148	738	4216
149	741	4199
150	744	4185
151	748	4177
152	752	4163
153	754	4145
154	757	4127
155	759	4109
156	765	4110
157	769	4098
158	772	4083
159	775	4070
160	780	4067
161	784	4056
162	786	4039
163	789	4022
164	791	4007
165	795	3997
166	798	3985
167	801	3971
168	804	3958
169	808	3945
170	812	3940
171	816	3930
172	819	3916
173	821	3901
174	824	3886
175	828	3879
176	832	3872
177	836	3862
178	839	3848
179	842	3837
180	849	3843
181	853	3835
182	856	3823
183	862	3825
184	866	3818
185	870	3809
186	873	3796
187	879	3798
188	883	3790
189	886	3778
190	889	3767
191	895	3769
192	898	3758
193	901	3747
194	904	3735
195	910	3735
196	915	3730
197	918	3719
198	921	3709
199	928	3712
200	931	3702
201	934	3692
202	937	3682
203	942	3679
204	946	3671
205	949	3660
206	952	3650
207	956	3643
208	961	3637
209	964	3626
210	967	3617
211	971	3612
212	976	3606
213	979	3598
214	983	3589
215	988	3586
216	992	3580
217	997	3578
218	1000	3569
219	1007	3573
220	1012	3568
221	1015	3558
222	1021	3557
223	1026	3554
224	1029	3547
225	1032	3537
226	1041	3545
227	1045	3539
228	1048	3530
229	1054	3530
230	1058	3522
231	1062	3515
232	1065	3506
233	1070	3505
234	1075	3499
235	1078	3490
236	1081	3482
237	1088	3485
238	1093	3481
239	1096	3472
240	1101	3470
241	1106	3466
242	1111	3461
243	1114	3451
244	1122	3458
245	1126	3452
246	1130	3445
247	1138	3451
248	1142	3445
249	1145	3436
250	1152	3439
251	1157	3434
252	1161	3429
253	1168	3431
254	1172	3424
255	1177	3421
256	1182	3418
257	1187	3415
258	1191	3408
259	1196	3405
260	1201	3402
261	1206	3397
262	1211	3395
263	1217	3393
264	1221	3386
265	1225	3380
266	1230	3379
267	1235	3375
268	1241	3373
269	1251	3382
270	1255	3376
271	1258	3369
272	1265	3368
273	1268	3361
274	1272	3354
275	1280	3359
276	1286	3357
277	1300	3376
278	1303	3368
279	1306	3359
280	1313	3361
281	1317	3354
282	1321	3347
283	1326	3344
284	1330	3337
285	1334	3332
286	1341	3333
287	1345	3327
288	1350	3321
289	1353	3314
290	1363	3322
291	1373	3330
292	1425	3440
293	1437	3452
294	1447	3458
295	1451	3451
296	1464	3466
297	1473	3470
298	1479	3468
299	1484	3463
300	1491	3463
301	1495	3457
302	1501	3452
303	1511	3460
304	1515	3454
305	1522	3451
306	1528	3450
307	1532	3443
308	1538	3439
309	1542	3434
310	1546	3426
311	1550	3418
312	1555	3414
313	1559	3407
314	1562	3398
315	1566	3391
316	1570	3383
317	1573	3375
318	1577	3366
319	1579	3357
320	1585	3352
321	1588	3344
322	1592	3338
323	1596	3331
324	1602	3328
325	1606	3321
326	1610	3314
327	1617	3313
328	1622	3308
329	1625	3300
330	1629	3294
331	1634	3288
332	1638	3282
333	1641	3273
334	1644	3264
335	1651	3262
336	1654	3254
337	1657	3246
338	1660	3237
339	1665	3233
340	1668	3225
341	1672	3217
342	1675	3210
343	1681	3206
344	1685	3199
345	1688	3192
346	1692	3185
347	1698	3181
348	1702	3176
349	1706	3170
350	1713	3167
351	1717	3161
352	1721	3156
353	1725	3148
354	1731	3145
355	1734	3138
356	1738	3130
357	1741	3122
358	1746	3118
359	1750	3112
360	1754	3105
361	1761	3104
362	1765	3098
363	1769	3091
364	1775	3088
365	1779	3082
366	1783	3076
367	1787	3069
368	1794	3069
369	1798	3062
370	1802	3055
371	1807	3051
372	1812	3046
373	1815	3039
374	1819	3033
375	1826	3031
376	1829	3024
377	1833	3016
378	1836	3008
379	1841	3004
380	1844	2997
381	1848	2989
382	1851	2983
383	1858	2981
384	1862	2975
385	1866	2968
386	1872	2966
387	1876	2959
388	1880	2953
389	1884	2947
390	1890	2944
391	1894	2938
392	1898	2932
393	1903	2927
394	1907	2921
395	1910	2914
396	1913	2907
397	1919	2903
398	1923	2896
399	1926	2889
400	1929	2882
401	1934	2877
402	1938	2871
403	1941	2864
404	1945	2858
405	1950	2853
406	1954	2847
407	1957	2840
408	1961	2834
409	1967	2830
410	1971	2825
411	1975	2819
412	1979	2813
413	1986	2811
414	1989	2804
